# Histogram   
# Time        	binMidPoints  	dataCounts    	dataValues    
2.500000e+00	8.300000e+00	0	0.000000e+00
2.500000e+00	8.500000e+00	0	0.000000e+00
2.500000e+00	8.700000e+00	0	0.000000e+00
2.500000e+00	8.900000e+00	0	0.000000e+00
2.500000e+00	9.100000e+00	0	0.000000e+00
2.500000e+00	9.300000e+00	0	0.000000e+00
2.500000e+00	9.500000e+00	0	0.000000e+00
2.500000e+00	9.700000e+00	0	0.000000e+00
2.500000e+00	9.900000e+00	0	0.000000e+00
3.000000e+00	9.900000e+00	0	0.000000e+00
3.000000e+00	9.700000e+00	0	0.000000e+00
3.000000e+00	9.500000e+00	0	0.000000e+00
3.000000e+00	9.300000e+00	0	0.000000e+00
3.000000e+00	9.100000e+00	0	0.000000e+00
3.000000e+00	8.900000e+00	0	0.000000e+00
3.000000e+00	8.700000e+00	0	0.000000e+00
3.000000e+00	8.500000e+00	0	0.000000e+00
3.000000e+00	8.300000e+00	0	0.000000e+00
3.000000e+00	8.100000e+00	0	0.000000e+00
3.000000e+00	7.900000e+00	0	0.000000e+00
3.000000e+00	7.700000e+00	0	0.000000e+00
3.000000e+00	7.500000e+00	0	0.000000e+00
3.000000e+00	7.300000e+00	0	0.000000e+00
3.000000e+00	7.100000e+00	0	0.000000e+00
3.000000e+00	6.900000e+00	0	0.000000e+00
3.000000e+00	6.700000e+00	0	0.000000e+00
3.000000e+00	6.500000e+00	0	0.000000e+00
3.000000e+00	6.300000e+00	0	0.000000e+00
3.000000e+00	6.100000e+00	0	0.000000e+00
3.000000e+00	5.900000e+00	0	0.000000e+00
3.000000e+00	5.700000e+00	0	0.000000e+00
3.000000e+00	5.500000e+00	0	0.000000e+00
3.000000e+00	5.300000e+00	0	0.000000e+00
3.000000e+00	5.100000e+00	0	0.000000e+00
3.000000e+00	4.900000e+00	0	0.000000e+00
3.000000e+00	4.700000e+00	0	0.000000e+00
3.000000e+00	4.500000e+00	0	0.000000e+00
3.000000e+00	4.300000e+00	0	0.000000e+00
3.000000e+00	4.100000e+00	0	0.000000e+00
3.000000e+00	3.900000e+00	0	0.000000e+00
3.000000e+00	3.700000e+00	0	0.000000e+00
