# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
0.855             	(4.5395240467e-08 4.5060870025e-08 0.0000000000e+00)	1.0000000000e-04
0.86              	(4.5373320848e-08 4.5104541868e-08 0.0000000000e+00)	1.0000000000e-04
0.865             	(4.5281955177e-08 4.5141286032e-08 0.0000000000e+00)	1.0000000000e-04
0.87              	(4.5208986898e-08 4.5174323311e-08 0.0000000000e+00)	1.0000000000e-04
0.875             	(4.5206355666e-08 4.5201177850e-08 0.0000000000e+00)	1.0000000000e-04
0.88              	(4.5229357035e-08 4.5242935679e-08 0.0000000000e+00)	1.0000000000e-04
0.885             	(4.5238374898e-08 4.5255740456e-08 0.0000000000e+00)	1.0000000000e-04
0.89              	(4.5253466477e-08 4.5268042741e-08 0.0000000000e+00)	1.0000000000e-04
0.895             	(4.5275186893e-08 4.5286340108e-08 0.0000000000e+00)	1.0000000000e-04
0.9               	(4.5297105442e-08 4.5300006136e-08 0.0000000000e+00)	1.0000000000e-04
0.905             	(4.5348310565e-08 4.5332119572e-08 0.0000000000e+00)	1.0000000000e-04
0.91              	(4.5410254228e-08 4.5337965674e-08 0.0000000000e+00)	1.0000000000e-04
0.915             	(4.5534581495e-08 4.5336429955e-08 0.0000000000e+00)	1.0000000000e-04
0.92              	(4.5575157283e-08 4.5329379241e-08 0.0000000000e+00)	1.0000000000e-04
0.925             	(4.5487035171e-08 4.5325271460e-08 0.0000000000e+00)	1.0000000000e-04
0.93              	(4.5371327023e-08 4.5345277719e-08 0.0000000000e+00)	1.0000000000e-04
0.935             	(4.5234006315e-08 4.5343736500e-08 0.0000000000e+00)	1.0000000000e-04
0.94              	(4.4939305723e-08 4.5334363903e-08 0.0000000000e+00)	1.0000000000e-04
0.945             	(4.4687033214e-08 4.5318922714e-08 0.0000000000e+00)	1.0000000000e-04
0.95              	(4.4575780096e-08 4.5296102566e-08 0.0000000000e+00)	1.0000000000e-04
0.955             	(4.4490466589e-08 4.5287739241e-08 0.0000000000e+00)	1.0000000000e-04
0.96              	(4.4430222002e-08 4.5248749902e-08 0.0000000000e+00)	1.0000000000e-04
0.965             	(4.4394351803e-08 4.5202268763e-08 0.0000000000e+00)	1.0000000000e-04
0.97              	(4.4377012599e-08 4.5163221477e-08 0.0000000000e+00)	1.0000000000e-04
0.975             	(4.4366032878e-08 4.5118673421e-08 0.0000000000e+00)	1.0000000000e-04
0.98              	(4.4366834411e-08 4.5003060719e-08 0.0000000000e+00)	1.0000000000e-04
0.985             	(4.4356861681e-08 4.4845166215e-08 0.0000000000e+00)	1.0000000000e-04
0.99              	(4.4328375654e-08 4.4697068447e-08 0.0000000000e+00)	1.0000000000e-04
0.995             	(4.4367417466e-08 4.4546752151e-08 0.0000000000e+00)	1.0000000000e-04
1                 	(4.4402638205e-08 4.4372405502e-08 0.0000000000e+00)	1.0000000000e-04
1.005             	(4.4465986365e-08 4.4277504969e-08 0.0000000000e+00)	1.0000000000e-04
1.01              	(4.4514773683e-08 4.4175754594e-08 0.0000000000e+00)	1.0000000000e-04
1.015             	(4.4546866895e-08 4.4156468704e-08 0.0000000000e+00)	1.0000000000e-04
1.02              	(4.4563896194e-08 4.4201092695e-08 0.0000000000e+00)	1.0000000000e-04
1.025             	(4.4568011360e-08 4.4302227672e-08 0.0000000000e+00)	1.0000000000e-04
1.03              	(4.4612811863e-08 4.4378689741e-08 0.0000000000e+00)	1.0000000000e-04
1.035             	(4.4636499647e-08 4.4439000919e-08 0.0000000000e+00)	1.0000000000e-04
1.04              	(4.4662810472e-08 4.4530463193e-08 0.0000000000e+00)	1.0000000000e-04
1.045             	(4.4699907377e-08 4.4612622341e-08 0.0000000000e+00)	1.0000000000e-04
1.05              	(4.4742981035e-08 4.4684963551e-08 0.0000000000e+00)	1.0000000000e-04
1.055             	(4.4800426086e-08 4.4771215100e-08 0.0000000000e+00)	1.0000000000e-04
1.06              	(4.4812123368e-08 4.4840690699e-08 0.0000000000e+00)	1.0000000000e-04
1.065             	(4.4812298782e-08 4.4901533734e-08 0.0000000000e+00)	1.0000000000e-04
1.07              	(4.4845090397e-08 4.4931719708e-08 0.0000000000e+00)	1.0000000000e-04
1.075             	(4.4864412153e-08 4.4958107659e-08 0.0000000000e+00)	1.0000000000e-04
1.08              	(4.4754038254e-08 4.5001171103e-08 0.0000000000e+00)	1.0000000000e-04
1.085             	(4.4587533201e-08 4.5023598067e-08 0.0000000000e+00)	1.0000000000e-04
1.09              	(4.4482108040e-08 4.5044279092e-08 0.0000000000e+00)	1.0000000000e-04
1.095             	(4.4388224165e-08 4.5070682268e-08 0.0000000000e+00)	1.0000000000e-04
1.1               	(4.4366801789e-08 4.5099855771e-08 0.0000000000e+00)	1.0000000000e-04
1.105             	(4.4281790882e-08 4.5148636648e-08 0.0000000000e+00)	1.0000000000e-04
1.11              	(4.4174973146e-08 4.5180994862e-08 0.0000000000e+00)	1.0000000000e-04
1.115             	(4.4089587129e-08 4.5212628840e-08 0.0000000000e+00)	1.0000000000e-04
1.12              	(4.4013474312e-08 4.5246191958e-08 0.0000000000e+00)	1.0000000000e-04
1.125             	(4.3920512304e-08 4.5280211839e-08 0.0000000000e+00)	1.0000000000e-04
1.13              	(4.3764378711e-08 4.5332889340e-08 0.0000000000e+00)	1.0000000000e-04
1.135             	(4.3735688925e-08 4.5365984518e-08 0.0000000000e+00)	1.0000000000e-04
1.14              	(4.3738928407e-08 4.5399028640e-08 0.0000000000e+00)	1.0000000000e-04
1.145             	(4.3737379733e-08 4.5440320023e-08 0.0000000000e+00)	1.0000000000e-04
1.15              	(4.3730442066e-08 4.5465399395e-08 0.0000000000e+00)	1.0000000000e-04
1.155             	(4.3719990012e-08 4.5506325731e-08 0.0000000000e+00)	1.0000000000e-04
1.16              	(4.3705969458e-08 4.5529480892e-08 0.0000000000e+00)	1.0000000000e-04
1.165             	(4.3683856519e-08 4.5550006515e-08 0.0000000000e+00)	1.0000000000e-04
1.17              	(4.3651673961e-08 4.5569762400e-08 0.0000000000e+00)	1.0000000000e-04
1.175             	(4.3657458175e-08 4.5590041995e-08 0.0000000000e+00)	1.0000000000e-04
1.18              	(4.3670738534e-08 4.5628278831e-08 0.0000000000e+00)	1.0000000000e-04
1.185             	(4.3675344215e-08 4.5654536876e-08 0.0000000000e+00)	1.0000000000e-04
1.19              	(4.3680805196e-08 4.5686717715e-08 0.0000000000e+00)	1.0000000000e-04
1.195             	(4.3687193812e-08 4.5684711934e-08 0.0000000000e+00)	1.0000000000e-04
1.2               	(4.3691461684e-08 4.5665676772e-08 0.0000000000e+00)	1.0000000000e-04
1.205             	(4.3690605124e-08 4.5656907089e-08 0.0000000000e+00)	1.0000000000e-04
1.21              	(4.3673115077e-08 4.5624102765e-08 0.0000000000e+00)	1.0000000000e-04
1.215             	(4.3691685348e-08 4.5577941391e-08 0.0000000000e+00)	1.0000000000e-04
1.22              	(4.3710473415e-08 4.5531171382e-08 0.0000000000e+00)	1.0000000000e-04
1.225             	(4.3725315949e-08 4.5468605654e-08 0.0000000000e+00)	1.0000000000e-04
1.23              	(4.3747525810e-08 4.5461133739e-08 0.0000000000e+00)	1.0000000000e-04
1.235             	(4.3757387037e-08 4.5427979590e-08 0.0000000000e+00)	1.0000000000e-04
1.24              	(4.3765093037e-08 4.5387528699e-08 0.0000000000e+00)	1.0000000000e-04
1.245             	(4.3767823994e-08 4.5343015181e-08 0.0000000000e+00)	1.0000000000e-04
1.25              	(4.3770520969e-08 4.5295152833e-08 0.0000000000e+00)	1.0000000000e-04
1.255             	(4.3791642436e-08 4.5261458757e-08 0.0000000000e+00)	1.0000000000e-04
1.26              	(4.3819164406e-08 4.5206235900e-08 0.0000000000e+00)	1.0000000000e-04
1.265             	(4.3820549583e-08 4.5140956344e-08 0.0000000000e+00)	1.0000000000e-04
1.27              	(4.3766471826e-08 4.5068547149e-08 0.0000000000e+00)	1.0000000000e-04
1.275             	(4.3760454949e-08 4.4992484185e-08 0.0000000000e+00)	1.0000000000e-04
1.28              	(4.3747739407e-08 4.4945417783e-08 0.0000000000e+00)	1.0000000000e-04
1.285             	(4.3641282438e-08 4.4876795124e-08 0.0000000000e+00)	1.0000000000e-04
1.29              	(4.3534417742e-08 4.4787844391e-08 0.0000000000e+00)	1.0000000000e-04
1.295             	(4.3411062544e-08 4.4664127312e-08 0.0000000000e+00)	1.0000000000e-04
1.3               	(4.3390120301e-08 4.4599974582e-08 0.0000000000e+00)	1.0000000000e-04
1.305             	(4.3381506131e-08 4.4555033913e-08 0.0000000000e+00)	1.0000000000e-04
1.31              	(4.3358520710e-08 4.4531425323e-08 0.0000000000e+00)	1.0000000000e-04
1.315             	(4.3323379182e-08 4.4562895002e-08 0.0000000000e+00)	1.0000000000e-04
1.32              	(4.3288167749e-08 4.4572940545e-08 0.0000000000e+00)	1.0000000000e-04
1.325             	(4.3251230442e-08 4.4563398076e-08 0.0000000000e+00)	1.0000000000e-04
1.33              	(4.3212285960e-08 4.4551218638e-08 0.0000000000e+00)	1.0000000000e-04
1.335             	(4.3125781109e-08 4.4528340976e-08 0.0000000000e+00)	1.0000000000e-04
1.34              	(4.3081513222e-08 4.4529989206e-08 0.0000000000e+00)	1.0000000000e-04
1.345             	(4.3052197031e-08 4.4576088041e-08 0.0000000000e+00)	1.0000000000e-04
1.35              	(4.3026931524e-08 4.4614647510e-08 0.0000000000e+00)	1.0000000000e-04
1.355             	(4.3009175844e-08 4.4661926175e-08 0.0000000000e+00)	1.0000000000e-04
1.36              	(4.2978994626e-08 4.4685184101e-08 0.0000000000e+00)	1.0000000000e-04
1.365             	(4.2947195029e-08 4.4699166834e-08 0.0000000000e+00)	1.0000000000e-04
1.37              	(4.2918609282e-08 4.4707123736e-08 0.0000000000e+00)	1.0000000000e-04
1.375             	(4.2890113779e-08 4.4697613732e-08 0.0000000000e+00)	1.0000000000e-04
1.38              	(4.2858802525e-08 4.4730948580e-08 0.0000000000e+00)	1.0000000000e-04
1.385             	(4.2831509089e-08 4.4743846781e-08 0.0000000000e+00)	1.0000000000e-04
1.39              	(4.2838654283e-08 4.4750381394e-08 0.0000000000e+00)	1.0000000000e-04
1.395             	(4.2824167760e-08 4.4755008861e-08 0.0000000000e+00)	1.0000000000e-04
1.4               	(4.2818768125e-08 4.4755762341e-08 0.0000000000e+00)	1.0000000000e-04
1.405             	(4.2821011894e-08 4.4771641152e-08 0.0000000000e+00)	1.0000000000e-04
1.41              	(4.2811320769e-08 4.4766742325e-08 0.0000000000e+00)	1.0000000000e-04
1.415             	(4.2798812254e-08 4.4752809945e-08 0.0000000000e+00)	1.0000000000e-04
1.42              	(4.2788601713e-08 4.4737862399e-08 0.0000000000e+00)	1.0000000000e-04
1.425             	(4.2777489047e-08 4.4719499728e-08 0.0000000000e+00)	1.0000000000e-04
1.43              	(4.2766464471e-08 4.4719298760e-08 0.0000000000e+00)	1.0000000000e-04
1.435             	(4.2734217975e-08 4.4699704208e-08 0.0000000000e+00)	1.0000000000e-04
